    PID TTY          TIME CMD
  49752 pts/1    00:00:08 java
  49863 pts/1    00:00:01 java
  49916 pts/1    00:00:00 sh
  49917 pts/1    00:00:00 ps
.
..
.gitignore
pom.xml
README.md
src
target
    PID TTY          TIME CMD
    634 pts/0    00:00:00 bash
   2087 pts/0    00:00:08 java
   2145 pts/0    00:00:02 java
   2172 pts/0    00:00:00 sh
   2174 pts/0    00:00:00 ps
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23236 13940 ?        Ss   14:58   0:01 /sbin/init splash
root        2298  1.3  0.4 1272876 134420 tty7   Ssl+ 14:58   1:11 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        2314  0.0  0.0  11320  1664 tty1     Ss+  14:58   0:00 /sbin/agetty -o -p -- \u --noclear - linux
root        2320  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2321  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2322  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2323  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2324  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2325  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2326  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2327  0.0  0.0      0     0 ?        I    14:58   0:00 [nfsd]
root        2388  0.0  0.0 228108 26504 ?        Ss   14:58   0:00 /usr/sbin/apache2 -k start
www-data    2402  0.0  0.0 228756 12624 ?        S    14:58   0:00 /usr/sbin/apache2 -k start
www-data    2404  0.0  0.0 228756 12624 ?        S    14:58   0:00 /usr/sbin/apache2 -k start
www-data    2405  0.0  0.0 228756 12624 ?        S    14:58   0:00 /usr/sbin/apache2 -k start
www-data    2406  0.0  0.0 228756 12624 ?        S    14:58   0:00 /usr/sbin/apache2 -k start
www-data    2408  0.0  0.0 228756 12624 ?        S    14:58   0:00 /usr/sbin/apache2 -k start
libvirt+    2453  0.0  0.0  11484  2092 ?        S    14:58   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
root        2454  0.0  0.0  11484  1068 ?        S    14:58   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
rtkit       2542  0.0  0.0  22940  3456 ?        SNsl 14:58   0:00 /usr/libexec/rtkit-daemon
root        2644  0.0  0.0 320168  9856 ?        Ssl  14:58   0:00 /usr/libexec/upowerd
root        2964  0.0  0.0 236744  9296 ?        Sl   14:58   0:00 lightdm --session-child 13 20
root        3396  0.0  0.0      0     0 ?        I<   14:59   0:00 [kworker/u68:2-ttm]
root        3401  0.0  0.0 1238104 14056 ?       Sl   14:59   0:00 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5df934926b0f1fcae370ac4d81a091d31014ed4fc6bbd199b02e9a4020afa491 -address /run/containerd/containerd.sock
root        3423  0.0  0.0 223476 29380 ?        Ss   14:59   0:00 apache2 -DFOREGROUND
root        3496  0.0  0.0 1671608 4352 ?        Sl   14:59   0:00 /usr/bin/docker-proxy -proto tcp -host-ip 0.0.0.0 -host-port 8000 -container-ip 172.24.0.2 -container-port 80 -use-listen-fd
